StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,I02,I03,I04,I05,I06,I07,C01,C02,C03,I08_1,I09_1,Q01_1,T01_First Click,T01_Last Click,T01_Page Submit,T01_Click Count,Q02_1,T02_First Click,T02_Last Click,T02_Page Submit,T02_Click Count,Q03_1,T03_First Click,T03_Last Click,T03_Page Submit,T03_Click Count,Q04_1,T04_First Click,T04_Last Click,T04_Page Submit,T04_Click Count,Q05_1,T05_First Click,T05_Last Click,T05_Page Submit,T05_Click Count,Q06_1,T06_First Click,T06_Last Click,T06_Page Submit,T06_Click Count,Q07_1,T07_First Click,T07_Last Click,T07_Page Submit,T07_Click Count,Q08_1,T08_First Click,T08_Last Click,T08_Page Submit,T08_Click Count,Q09_1,T09_First Click,T09_Last Click,T09_Page Submit,T09_Click Count,Q10_1,T10_First Click,T10_Last Click,T10_Page Submit,T10_Click Count,Q11_1,T11_First Click,T11_Last Click,T11_Page Submit,T11_Click Count,Q12_1,T12_First Click,T12_Last Click,T12_Page Submit,T12_Click Count,Q13_1,T13_First Click,T13_Last Click,T13_Page Submit,T13_Click Count,Q14_1,T14_First Click,T14_Last Click,T14_Page Submit,T14_Click Count,Q15_1,T15_First Click,T15_Last Click,T15_Page Submit,T15_Click Count
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/21/2020 9:39,1/21/2020 9:40,0,24.253.126.227,20,83,0,1/28/2020 9:40,R_3F2IBcieCQvkaiV,,,,,,,anonymous,EN,2,52,1,7,1,5,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/21/2020 9:45,1/21/2020 9:51,0,24.4.252.71,78,309,0,1/28/2020 9:52,R_3MG5sIiKY0VYlMf,,,,,,,anonymous,EN,1,47,1,6,1,5,,10,10,7,1,7,11.831,11.831,22.28,1,1,7.101,7.101,9.159,1,1,7.264,7.264,10.432,1,1,8.978,8.978,10.237,1,1,9.571,9.571,10.535,1,1,6.581,6.581,9.77,1,7,21.609,21.609,22.494,1,,,,,,1,11.757,12.905,14.063,2,,,,,,1,14.03,14.03,17.683,1,1,13.175,13.175,21.385,1,1,18.071,18.071,19.766,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/21/2020 11:57,1/21/2020 11:59,0,199.115.96.74,18,148,0,1/28/2020 11:59,R_24f2e1xDlWMV8gj,,,,,,,anonymous,EN,1,27,1,6,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/21/2020 12:44,1/21/2020 12:50,0,24.13.135.151,27,330,0,1/28/2020 12:50,R_3p581pApEpnxaZK,,,,,,,anonymous,EN,2,29,1,4,1,3,,15,15,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/22/2020 4:49,1/22/2020 4:54,0,110.54.196.159,29,255,0,1/29/2020 4:54,R_3qHvFybR0MjbDZG,,,,,,,anonymous,EN,2,28,14,7,1,7,,9,9,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/22/2020 10:04,1/23/2020 1:10,0,100.12.192.32,18,54336,0,1/30/2020 1:10,R_24oC8hhS1i80VzU,,,,,,,anonymous,EN,2,24,8,7,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/21/2020 14:29,3/21/2020 14:43,0,98.206.203.60,100,848,1,3/21/2020 14:43,R_3qBEon0CP5G6cmn,,,,,42.00030518,-88.14219666,anonymous,EN,1,16,8,2,3,1,,60,60,3,5,6,2.428,12.257,13.264,24,2,6.53,6.53,9.334,1,5,48.595,48.595,49.566,1,1,2.204,11.189,14.509,3,3,2.818,13.412,18.858,3,6,2.488,20.48,21.162,27,1,2.82,25.734,30.707,5,1,2.728,15.008,16.886,7,2,7.38,23.098,24.982,14,5,1.527,14.385,15.153,8,1,1.467,33.583,36.097,32,1,2.801,13.677,15.08,6,3,1.093,25.407,26.883,23,3,1.722,18.778,21.081,17,1,292.144,298.447,304.946,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/21/2020 14:30,3/21/2020 14:43,0,98.206.203.60,100,783,1,3/21/2020 14:43,R_cOPRsMvmvZSl4at,,,,,42.00030518,-88.14219666,anonymous,EN,1,16,1,2,1,1,,1,1,5,1,5,31.522,40.71,41.454,3,3,22.135,22.135,24.263,1,6,15.799,15.799,23.264,1,1,19.236,27.053,28.565,2,2,36.147,44.651,48.366,2,5,21.844,21.844,26.371,1,6,59.316,61.13,63.911,2,3,1.384,44.379,45.608,3,3,37.494,38.69,39.195,2,6,32.054,32.054,37.609,1,2,83.83,83.83,84.895,1,1,29.095,29.095,30.778,1,3,28.572,49.024,62.885,6,6,29.885,29.885,42.527,1,5,31.577,49.354,51.706,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/21/2020 15:23,3/21/2020 15:26,0,107.77.207.226,100,155,1,3/21/2020 15:26,R_1DYC3CKtBkLzg7g,,,,,41.84829712,-87.65170288,anonymous,EN,2,99,1,1,3,1,"1,2,3,5,10,12,17,24,25,26,27,28,30,36",1000000000,37373737,1,4,1,0.674,1.767,2.599,3,4,2.44,2.44,3.222,1,1,1.254,1.428,2.766,2,5,0.737,1.345,2.216,2,4,0.598,1.501,3.014,3,4,0.436,2.497,3.111,6,5,0.782,1.705,2.735,4,4,0.571,1.643,2.128,4,3,0.789,1.976,2.754,3,4,1.006,1.006,1.766,1,4,0.786,3.937,4.814,10,4,0.35,2.691,3.528,5,1,1.145,8.563,9.192,7,3,0.793,0.793,1.316,1,4,0.654,2.052,2.672,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/21/2020 15:23,3/21/2020 15:29,0,98.206.204.195,100,349,1,3/21/2020 15:29,R_3lKqE77EDzX4SDq,,,,,41.97779846,-88.20179749,anonymous,EN,1,18,8,6,1,2,"2,5,6,9,13,14,17,20,22,23,27,28,29,31",0,4,4,4,7,0.923,5.745,6.607,5,4,5.269,8.505,9.333,7,4,2.685,5.688,7.002,4,4,2.109,30.503,31.727,10,3,3.114,7.093,8.098,3,1,10.358,12.552,13.718,4,4,1.306,9.45,10.286,8,7,3.565,9.26,10.295,7,7,3.27,9.505,10.532,4,4,4.364,5.931,6.929,3,5,17.154,18.604,19.672,3,3,3.784,14.245,15.01,12,4,5.042,7.119,8.234,4,1,10.679,13.332,14.007,5,3,7.14,17.138,18.183,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/21/2020 15:23,3/21/2020 15:31,0,172.58.139.82,100,485,1,3/21/2020 15:31,R_3k1AiejXITjpnio,,,,,41.8500061,-87.71649933,anonymous,EN,2,16,9,2,1,10,,3,3,1,1,5,3.105,38.127,38.971,5,2,2.656,8.255,9.278,2,6,2.848,9.933,11.113,5,2,5.03,16.657,17.445,7,3,1.619,14.17,14.558,5,5,2.855,16.721,17.215,5,7,2.204,23.824,27.772,8,5,2.797,12.112,13.129,4,7,2.864,22.69,23.379,6,5,2.05,17.906,18.753,3,5,4.292,30.045,30.606,7,5,6.514,14.397,14.949,4,7,28.916,35.885,37.901,9,4,7.101,19.419,22.333,2,1,4.911,51.461,53.281,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/21/2020 15:27,3/21/2020 15:32,0,75.135.68.89,100,350,1,3/21/2020 15:32,R_1f2EI5wcTZfbU6D,,,,,42.53230286,-88.34850311,anonymous,EN,2,16,1,2,1,8,"2,5,6,9,12,14,17,20,22,23,29",2,4,5,5,4,1.083,10.2,10.985,5,5,12.691,13.889,14.932,2,4,3.904,19.22,20.841,6,7,4.836,6.938,7.459,3,4,3.004,7.555,8.181,3,5,1.252,7.587,8.259,4,7,1.434,9.987,10.914,3,2,1.803,10.605,11.096,4,5,1.345,10.895,11.501,5,5,6.806,15.662,16.277,5,5,0.777,13.748,14.768,14,5,2.905,6.571,7.414,5,7,1.503,12.489,13.492,7,2,10.477,10.477,11.636,1,2,1.24,21.292,22.973,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/21/2020 15:25,3/21/2020 15:33,0,76.29.88.123,100,506,1,3/21/2020 15:33,R_1CKIrY7sfARkdFN,,,,,42.21600342,-88.07710266,anonymous,EN,2,16,9,2,3,1,"1,2,5,6,9,12,14,17,20,22,23,31",24,24,4,3,3,1.239,18.747,19.804,7,1,1.409,10.179,11.162,3,6,0.582,7.651,11.954,3,6,12.963,17.256,18.217,4,3,18.298,19.098,19.981,2,3,16.447,20.366,20.965,4,7,17.706,17.706,19.754,1,2,1.183,11.925,14.188,3,3,1.902,35.203,36.623,7,7,2.267,12.566,14.482,4,2,1.699,19.246,19.811,5,1,10.375,11.291,12.415,2,7,6.549,26.805,28.38,6,1,0.735,8.45,9.571,2,1,21.433,60.438,70.688,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/21/2020 15:24,3/21/2020 15:34,0,98.212.198.54,100,592,1,3/21/2020 15:34,R_wN4M1RgHIswIJO1,,,,,42.02209473,-88.17050171,anonymous,EN,1,17,8,2,1,1,,15,15,3,6,2,5.232,13.873,15.028,4,5,3.729,6.117,7.004,3,4,2.283,14.554,15.606,6,3,6.097,20.832,21.705,6,7,4.81,27.677,41.725,4,1,15.989,21.412,22.518,8,7,4.489,49.33,55.201,8,1,3.824,24.522,24.909,6,7,4.49,30.221,31.215,6,5,9.83,16.321,16.716,5,6,1.544,36.247,40.723,9,5,4.811,20.893,23.183,11,7,16.885,20.917,21.308,5,1,71.309,71.712,74.36,2,1,2.935,42.397,43.618,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/21/2020 15:34,3/21/2020 15:48,0,174.192.79.228,100,804,1,3/21/2020 15:48,R_3k7IoEPTNokWqxg,,,,,37.75100708,-97.8219986,anonymous,EN,1,16,10,2,1,10,,5,5,4,5,4,2.135,20.935,21.591,4,3,11.297,19.157,21.473,3,6,7.033,18.678,23.39,3,2,17.168,19.439,20.223,2,6,26.828,33.582,34.197,8,1,14.802,17.453,29.8,2,6,34.791,64.508,65.111,4,3,21.613,28.3,28.992,4,7,2.879,25.989,26.651,5,5,26.451,27.991,28.521,2,5,3.29,51.409,52.944,9,6,1.799,23.448,23.972,5,4,0.922,17.783,19.604,8,5,21.805,67.063,67.795,3,4,1.297,47.607,48.187,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/21/2020 15:42,3/21/2020 15:49,0,108.218.36.16,100,398,1,3/21/2020 15:49,R_2Et3WC3utk7EbHo,,,,,41.99659729,-88.2963028,anonymous,EN,1,16,8,2,1,1,,30,2,6,3,2,1.074,15.418,16.344,8,1,1.424,11.69,13.226,8,3,1.277,5.674,6.991,3,7,0.957,13.501,14.545,12,5,1.162,13.948,15.231,12,5,1.393,6.083,9.729,6,7,0.907,20.975,22.089,11,2,0.946,10.694,12.213,6,7,1.379,8.736,9.483,5,5,0.623,9.657,11.528,6,7,1.791,42.092,42.911,7,7,0.233,54.219,55.21,16,4,1.079,11.044,11.682,8,4,1.458,12.462,13.545,5,4,2.501,15.182,16.167,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/21/2020 15:43,3/21/2020 15:50,0,174.192.78.129,100,376,1,3/21/2020 15:50,R_02KgbrbwLxmnEmR,,,,,42.03819275,-88.26200104,anonymous,EN,2,16,8,2,1,1,"1,2,7,9,10,11,12,14,17,19,20,22,23,27,28,29,30,31,32",5,4,5,2,5,1.603,18.395,19.145,4,4,11.576,11.576,12.487,1,5,12.937,16.288,17.735,3,5,2.266,11.825,12.816,2,4,1.929,10.747,11.398,2,6,11.193,12.342,12.875,2,3,2.054,29.367,29.872,4,5,4.287,8.215,9.343,2,4,4.778,15.808,16.258,4,4,9.526,9.526,10.282,1,3,2.243,9.283,9.879,3,3,3.581,6.251,6.9,2,6,2.553,18.726,20.094,5,2,10.441,12.407,13.071,3,1,5.392,28.311,29.319,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/21/2020 15:46,3/21/2020 15:52,0,64.53.170.202,100,366,1,3/21/2020 15:52,R_1o5aZ4yrXOP1WkO,,,,,41.86399841,-88.06710052,anonymous,EN,1,17,8,2,1,1,"2,6,9,10,12,14,17,19,20,21,24,27",6,4,3,5,3,1.407,7.023,7.723,6,3,8.741,11.74,13.594,3,5,2.496,9.447,9.872,10,3,10.121,16.152,16.895,7,3,0.952,10.368,11.044,7,3,0.812,2.137,2.962,3,6,4.507,20.501,21.761,9,4,2.06,6.831,7.463,5,5,1.257,8.441,9.101,4,5,17.81,18.967,19.59,2,3,0.743,4.093,6.826,6,3,1.043,11.912,12.759,7,5,2.236,10.585,11.678,6,1,2.029,9.914,12.58,2,1,11.038,28.102,28.96,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/21/2020 15:52,3/21/2020 15:56,0,71.194.122.152,100,265,1,3/21/2020 15:56,R_1N1YOo66g8Cpzem,,,,,41.97779846,-88.20179749,anonymous,EN,1,17,1,2,1,10,"2,5,9,10,11,12,14,17,20,22,27,28",15,15,2,1,1,0.62,12.17,12.661,5,5,7.89,10.672,12.629,4,5,4.717,8.984,11.166,6,5,0.657,23.094,23.636,6,7,1.062,11.675,14.655,5,7,0.566,3.634,4.687,3,7,0.747,5.712,8.056,2,1,0.675,5.58,6.971,3,4,1.297,14.548,15.056,8,4,0.793,13.013,14.586,2,1,0.596,4.679,5.159,3,1,0.868,6.186,6.595,5,7,1.137,8.139,8.801,6,1,8.6,8.6,9.341,1,1,1.031,11.449,12.11,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/21/2020 15:53,3/21/2020 16:02,0,174.192.148.209,100,570,1,3/21/2020 16:02,R_2Y540x0w7oBS2aJ,,,,,37.75100708,-97.8219986,anonymous,EN,2,17,8,2,1,1,,3,3,4,6,2,19.007,26.097,26.506,3,3,5.087,14.63,16.01,2,4,13.077,17.446,18.279,4,2,20.554,21.962,22.489,2,3,31.405,34.44,36.487,4,1,8.65,16.449,18.035,3,7,31.441,32.118,32.954,2,2,1.139,26.935,28.458,5,5,11.704,29.104,29.653,4,7,25.787,27.893,28.481,2,3,14.89,40.349,42.225,5,2,9.258,11.3,12.536,2,5,24.68,53.504,54.161,11,2,11.669,12.436,14.668,2,1,12.154,13.937,14.572,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/21/2020 16:02,3/21/2020 16:09,0,67.173.174.184,100,434,1,3/21/2020 16:09,R_2TAdUwtdwfpYkiL,,,,,42.15969849,-88.1414032,anonymous,EN,2,17,8,2,3,1,"2,9,13,14,17,20,23,26,29,32,36",3,4,2,4,4,0.805,9.974,10.426,4,2,5.173,6.321,6.821,2,6,3.063,8.215,9.301,5,6,1.168,7.052,7.419,4,5,0.863,9.879,9.914,3,5,1.575,2.907,4.146,2,6,1.199,11.817,13.137,6,2,0.91,5.194,6.43,3,3,0.959,7.642,8.614,5,1,0.861,12.193,12.799,3,3,0.588,31.89,32.427,2,5,0.983,3.666,4.17,3,7,3.64,44.076,44.116,5,1,1.15,8.2,9.02,3,1,1.694,19.462,19.916,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/21/2020 15:30,3/21/2020 16:12,0,73.210.165.31,100,2567,1,3/21/2020 16:12,R_1eOxoSRzCIKvB0T,,,,,42.00030518,-88.14219666,anonymous,EN,1,17,8,2,2,1,10,2,0,4,1,4,0.591,1.455,2.23,3,4,1.244,1.516,2.147,2,4,0.565,2.066,2.757,2,7,2.396,9.617,10.838,3,3,0.748,3.242,4.176,5,4,0.046,0.949,2.067,3,4,0.491,1.666,2.905,3,4,0.498,1.375,2.547,3,4,0.467,1.232,1.9,2,4,0.458,1.39,2.096,2,4,0.777,6.028,6.832,2,3,2.558,4.046,4.508,3,4,0.754,9.138,10.274,7,5,0.707,0.99,1.528,2,3,0.534,1.857,2.455,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/21/2020 16:10,3/21/2020 16:16,0,73.51.235.42,100,327,1,3/21/2020 16:16,R_ZkPvsYpY19Xj8pb,,,,,42.16140747,-87.96600342,anonymous,EN,1,17,8,2,2,1,,5,5,2,2,6,0.78,9.653,10.14,5,1,2.394,5.562,5.899,5,3,1.171,6.01,6.043,4,2,0.91,8.931,10.109,4,6,9.931,10.58,11.008,2,3,7.551,12.237,13.456,6,7,0.75,28.41,29.001,12,7,0.893,10.654,11.316,10,1,0.862,14.978,15.471,7,7,15.376,18.621,19.225,3,5,0.835,17.222,19.145,17,4,1.032,11.143,12.107,10,1,1.068,8.326,9.185,8,7,2.444,11.335,12.076,5,1,10.303,20.099,20.13,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/21/2020 15:24,3/21/2020 16:17,0,98.212.205.141,100,3151,1,3/21/2020 16:17,R_1OjKKf2JrEyUaWc,,,,,42.02209473,-88.17050171,anonymous,EN,1,17,8,2,1,10,"1,2,5,9,12,13,14,17,22,26,27,35",6,4,5,5,2,3.526,7.175,7.761,4,5,6.531,6.531,7.335,1,4,8.985,9.537,10.566,2,7,10.691,14.984,15.468,2,4,11.947,14.103,15.281,3,2,1.092,16.174,16.862,7,7,6.815,11.471,13.16,2,1,10.586,12.736,13.261,3,6,1.491,9.308,9.628,4,5,13.728,14.514,14.982,2,2,13.174,15.115,15.803,3,4,3.81,7.042,7.499,3,1,8.743,14.393,15.575,4,2,13.366,15.108,16.326,2,1,9.903,16.044,16.515,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/21/2020 16:21,3/21/2020 16:27,0,24.14.231.134,100,383,1,3/21/2020 16:27,R_3NCAtF3AEhEzD8l,,,,,41.53349304,-87.89309692,anonymous,EN,1,17,8,2,1,2,"2,4,5,9,11,12,14,19,20,22,27,28,29,32",100,3,6,5,1,2.575,6.191,7.006,5,7,7.574,19.673,21.387,9,6,0.952,16.718,18.126,8,2,0.755,5.673,7.146,4,5,2.525,7.205,8.289,5,7,0.673,4.604,5.471,6,1,1.711,4.543,6.518,4,1,1.298,7.585,8.819,5,5,0.78,23.998,24.966,7,3,3.456,14.302,15.671,4,3,1.684,6.733,7.205,4,1,1.335,7.847,8.685,3,7,8.376,19.141,20.315,5,1,0.791,19.457,20.258,10,7,1.005,12.202,12.954,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/21/2020 16:24,3/21/2020 16:28,0,24.1.128.55,100,272,1,3/21/2020 16:28,R_CeKD132mxzk2xR7,,,,,41.58520508,-87.80590057,anonymous,EN,1,17,8,2,1,1,"2,5,6,9,10,11,12,13,14,17,23,26,28,29,31,32,34",3,4,4,5,1,4.926,8.099,9.212,4,3,6.813,15.2,16.213,10,7,7.794,11.67,12.389,5,6,0.557,0.848,1.228,2,5,6.394,19.692,21.056,3,7,9.075,18.229,19.036,3,7,9.735,22.6,26.089,2,6,0.455,1.039,1.485,2,7,4.168,11.611,12.1,5,3,0.57,0.8,1.358,2,3,1.474,10.578,11.599,4,3,2.042,4.666,4.934,5,7,9.435,14.771,15.625,4,3,0.4,0.835,1.179,2,3,0.578,1.045,1.474,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/21/2020 16:35,3/21/2020 16:41,0,107.77.206.171,100,413,1,3/21/2020 16:41,R_3OepAqh5tecx36k,,,,,41.84829712,-87.65170288,anonymous,EN,2,19,8,3,1,1,"2,6,9,10,11,12,14,17,20,22,23,26,29,32",3,3,2,1,3,7.951,15.434,16.243,7,6,20.78,21.178,21.924,2,7,10.012,14.362,15.674,9,4,18.096,18.886,20.047,3,6,34.104,35.729,36.564,3,2,8.772,11.064,11.944,4,7,15.676,19.259,20.373,4,3,1.214,7.054,7.945,4,6,1.226,20.666,21.886,4,5,2.171,17.462,18.348,3,5,2.215,14.936,15.955,3,6,2.1,16.125,16.983,5,2,4.625,10.884,11.993,6,1,9.314,9.706,10.682,2,1,20.691,25.85,26.769,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/21/2020 16:20,3/21/2020 16:44,0,109.133.123.56,100,1438,1,3/21/2020 16:44,R_2TZuxaaNJu6V0y4,,,,,50.87130737,4.375793457,anonymous,EN,1,67,1,7,4,7,,6,6,2,3,2,1.694,61.044,61.788,8,7,22.515,64.118,65.549,4,5,22.637,47.863,48.954,3,5,21.374,61.778,62.929,4,3,20.632,42.559,43.857,4,3,21.577,42.039,43.373,3,7,5.001,53.707,54.868,6,1,20.809,58.496,59.119,6,7,5.317,82.313,82.838,12,7,20.655,61.956,64.615,9,3,2.15,84.277,85.586,11,1,20.937,38.783,40.154,4,7,20.479,95.929,100.543,8,1,3.783,45.501,47.585,4,1,23.624,152.332,153.401,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/21/2020 16:38,3/21/2020 16:55,0,24.14.231.134,100,1022,1,3/21/2020 16:55,R_9oVHytPQpJ3IdZ7,,,,,41.53349304,-87.89309692,anonymous,EN,2,21,8,3,1,2,"1,2,6,9,11,14,17,20,22,27,28",10,4,2,3,1,0.791,22.366,23.409,8,6,3.959,9.434,10.605,3,4,0.896,27.72,30.433,19,2,0.691,16.912,19.224,8,7,0.755,17.956,19.008,11,6,27.452,47.311,48.911,16,7,10.793,32.443,33.554,14,1,0.905,44.734,45.975,18,7,1.825,28.401,29.56,18,5,1.059,47.294,49.674,31,6,0.597,50.725,52.409,17,7,1.481,37.965,39.204,24,7,0.697,26.844,29.106,20,1,3.187,17.563,20.098,5,1,37.892,66.83,68.266,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/21/2020 17:05,3/21/2020 17:15,0,73.51.166.131,100,591,1,3/21/2020 17:15,R_1PTBon0xOrb7xIN,,,,,42.352005,-88.05500031,anonymous,EN,2,17,8,2,1,1,,30,30,1,5,4,2.093,23.059,23.781,8,4,13.032,13.032,13.585,1,6,9.519,14.619,19.064,2,1,18.942,20.766,21.204,3,4,24.941,25.592,30.692,2,5,0.93,20.087,20.518,4,5,9.371,31.086,31.552,4,3,3.337,15.004,15.749,3,3,5.756,25.948,27.496,7,6,17.727,31.787,32.223,2,5,15.052,24.218,24.848,6,5,15.974,20.599,21.12,3,7,12.028,29.301,35.003,5,1,12.565,12.565,13.761,1,1,27.482,31.946,33.226,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
